,File_List,Header,Text
142,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_74.png'],ADVERTISING AGENCIES,Finelli Raymond Associates 12 Thomas St
143,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_75.png'],ADVERTISING AGENCIES,Friendson Associates 56 Pine St 5th Fl
144,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_76.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_77.png']",ADVERTISING AGENCIES,Goldsmith Tregar Co 274 Weybosset St Rm 601
145,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_78.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_79.png']",ADVERTISING AGENCIES,Goodchild & Eidson Inc 111 Westminster St Rm 1812
146,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_80.png'],ADVERTISING AGENCIES,Herr J Robt Associates Inc 81 S Angell St
147,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_81.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_82.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_83.png']",ADVERTISING AGENCIES,"HORTON CHURCH & GOFF INC 800 Turks Head Bldg, 76 Westminster St (02903). Tel 421-4901"
148,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_84.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_85.png']",ADVERTISING AGENCIES,Jones D V Associates 290 Westminster St Rm 501
149,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_86.png'],ADVERTISING AGENCIES,King J Howard Inc 220 Howard Bldg
150,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_2.png'],ADVERTISIN G AGENCIES-CONTD,Lawrence & Brooks Inc 12 Sheldon St
151,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_3.png'],ADVERTISIN G AGENCIES-CONTD,Lorimer John A 36 Kennedy Plaza Rm 415
152,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_4.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_5.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_6.png']",ADVERTISIN G AGENCIES-CONTD,"MAXFIELD JOSEPH CO 10 Dorrance St, Rm 540 (02903) Tel 421-4456 (See Index To Advertisers)"
153,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_7.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_8.png']",ADVERTISIN G AGENCIES-CONTD,Mc Cabe Frank & Associates Inc 40 Fountain St Rm 801
154,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_9.png'],ADVERTISIN G AGENCIES-CONTD,Old Colony Advertising Co 566 S Main St
155,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_10.png'],ADVERTISIN G AGENCIES-CONTD,Patterson George Co Inc Rm434 Howard Bldg
156,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_11.png'],ADVERTISIN G AGENCIES-CONTD,Plum Nelly Co 141 Colonial Rd
157,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_12.png'],ADVERTISIN G AGENCIES-CONTD,Project One Inc 212 Union St Rm 303
158,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_13.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_14.png']",ADVERTISIN G AGENCIES-CONTD,R I Transit Advertising Inc 58 Weybosset St Rm 704
159,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_15.png'],ADVERTISIN G AGENCIES-CONTD,R J La Chance Inc 76 Westminster St Rm 507
160,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_16.png'],ADVERTISIN G AGENCIES-CONTD,R K P Associates 42 10th St
161,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_17.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_18.png']",ADVERTISIN G AGENCIES-CONTD,Rhode Island Transit Advertising. Inc 220 India St
162,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_19.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_20.png']",ADVERTISIN G AGENCIES-CONTD,Rockwell Associates 146 Westminster St Rm 214
163,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_21.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_22.png']",ADVERTISIN G AGENCIES-CONTD,Ross-Simons Advertising Co 290 Westminster St Rm 712
164,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_23.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_24.png']",ADVERTISIN G AGENCIES-CONTD,Schift Arthur D Advertising 357 Westminster St Rm306
165,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_25.png'],ADVERTISIN G AGENCIES-CONTD,Spencer Bennett Nowak Inc 70 Harborside Dr
166,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_26.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_27.png']",ADVERTISIN G AGENCIES-CONTD,Spencer Sheldon Associates Inc 189 Governor St Rm 202
167,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_28.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_29.png']",ADVERTISIN G AGENCIES-CONTD,Stauch Vetromile Gilmore Inc 49 Weybosset St Rm 40
168,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_30.png'],ADVERTISIN G AGENCIES-CONTD,Streiker & Co 296 Benefit St
169,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_31.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_32.png']",ADVERTISIN G AGENCIES-CONTD,Syneyenn Advertising 2247 Mineral Spring Av(N Prov)
170,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_33.png'],ADVERTISIN G AGENCIES-CONTD,T & T Advertising 58 Weybosset St Rm 704
171,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_34.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_35.png']",ADVERTISIN G AGENCIES-CONTD,Thorndike Associates Inc 58 Weybosset St Rm 704
172,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_36.png'],ADVERTISIN G AGENCIES-CONTD,Today Inc Rear 339 Eddy St
173,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_37.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_38.png']",ADVERTISIN G AGENCIES-CONTD,Toole Philip B Inc 76 Westminster St Rm 1312
174,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_39.png'],ADVERTISIN G AGENCIES-CONTD,Williams Co The 108 Waterman St Apt 1a
175,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_42.png'],ADVERTISING-DIRECT MAIL,Baker W F Co Inc 36 Kennedy Plaza Rm 206
176,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_43.png'],ADVERTISING-DIRECT MAIL,Giannini P Inc 56 Pine St 5th Fl
177,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_45.png'],ADVERTISING-OUTDOOR,Standish Johnson Co 220 India St
178,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_46.png'],ADVERTISING-OUTDOOR,Such Co 220 India St
179,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_51.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_52.png']",ADVERTISING REPRESENTATIVES- NEWSPAPER AND MAGAZINE,Fitzgerald-Toole & Co Inc 274 Weybosset St 3d F1 Rm 301
180,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_53.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_54.png']",ADVERTISING REPRESENTATIVES- NEWSPAPER AND MAGAZINE,Mc Carthy J P Co Inc 274 Weybosset St Rm 301
181,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_56.png'],ADVERTISING SPECIALTIES,Adventure Specialties Inc 62 Sprague St
182,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_57.png'],ADVERTISING SPECIALTIES,Embassy Mfg Inc 289 Oak St
183,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_58.png'],ADVERTISING SPECIALTIES,Marquardt-Hudes Inc 141 Carolina Av
184,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_59.png'],ADVERTISING SPECIALTIES,Precious Products Corp 295 Harris Av 2nd Fl
185,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_62.png'],ADVERTISING-WINDOW DISPLAY,Joyce Card & Display Co 387 Charles St
186,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_65.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_66.png']",*AIR CONDITIONING CONTRACTORS,"HEVAC ENGINEERING CORP 185 Front St (Pawtucket; 02861), Tel 723-5950"
187,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_67.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_68.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_69.png']",*AIR CONDITIONING CONTRACTORS,"MUTUAL ENGINEERING SERVICE CO INC 304 Lockwood St (02907), Tel 351-3900"
188,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_74.png'],AIR CONDITIONING EQUIPMENT AND SUPPLIES-SALES AND SERVICE,Acme Heating & Air Conditioning Supply Co
189,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_75.png'],AIR CONDITIONING EQUIPMENT AND SUPPLIES-SALES AND SERVICE,Inc 663 Charles St
190,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (2)_76.png'],AIR CONDITIONING EQUIPMENT AND SUPPLIES-SALES AND SERVICE,Lutz Engineering Co Inc 343 Broad St
191,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_2.png'],AIR FREIGHT AND EXPRESS,Moran Air Cargo 17 Exchange St Rm 200
192,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_4.png'],AIR LIN E COMPANIES,American Airlines Howard Bldg
193,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_7.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_8.png']",AIRCRAFT CHARTER AND RENTAL SERVICE,De Hauilland Aircraft Leasing Co 32 Westminster St Rm 600
194,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_10.png'],ALLOYS,Acme Alloy Co 23 Bassett St
195,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_12.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_13.png']",ALTERATION SHOPS,Classical Alterations 290 Westminster St Rm 708
196,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_14.png'],ALTERATION SHOPS,ConnieAS Alteration Shop 607 Admiral St
197,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_15.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_16.png']",ALTERATION SHOPS,Miss Julie Alterations 334 Westminster St Rm 416
198,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_19.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_20.png']",ALUMINUM PRODUCTS DEALERS,Mount Pleasant Aluminum Prods Inc 292 Academy Av
199,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_21.png'],ALUMINUM PRODUCTS DEALERS,National Exteriors Inc 161 Messer St'
200,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_24.png'],ALUMINUM PRODUCTS MFRS,Built Rite Aluminum Ptoducts 43 Troy St
201,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_25.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_26.png']",ALUMINUM PRODUCTS MFRS,Reynolds Metals Development Corp 1 Weybosset Hill 7th Fl
202,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_28.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_29.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_30.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_31.png']",AMBULANCE SERVICE,"ALLSTATE AMBULANCE SERVICE INC 57 Budlong Rd (Cranston; 02920), Tel 944-4350 Branch Officez 7 Turner St, Warren, R I (02885), Tel 944-4350"
203,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_32.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_33.png']",AMBULANCE SERVICE,"EAST PROVIDENCE AMBULANCE CO 156 Warren Av (02914), Tel 434-3500"
204,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_35.png'],AMUSEMENT COMPANIES,Games People Play 272 Thayer St
205,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_38.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_39.png']",AMUSEMENT MACHINES- COIN OPERATED,Alexion Chris Music 189 High Service Av (N Prov) .
206,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_41.png'],AMUSEMENT PLACES,Amaserarna 239 Wickenden St
207,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_42.png'],AMUSEMENT PLACES,Cranston Ice Bowl 50 Harborside Dr
208,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_43.png'],AMUSEMENT PLACES,Mount Pleasant Stadium 2 Rialto St
209,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_44.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_45.png']",AMUSEMENT PLACES,Parente Amusement Co 44 Mc Arthur Dr (N Prov)
210,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_46.png'],AMUSEMENT PLACES,Providence Hockey Club Inc 1 La Salle Sq
211,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_47.png'],AMUSEMENT PLACES,Triggh Golf Course 1533 Chalkstone Av
212,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_49.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_50.png']",ANIMAL HOSPITALS,Belinsky Animal Hospital Inc 1177 Elmwood Av
213,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_52.png'],ANODIZING,Sta-Brite Inc 187 Public St
214,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_53.png'],ANODIZING,Swiss Anodizing Corp 60 Curtis St
215,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_55.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_56.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_57.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_58.png']",*ANSWERING SERVICE,"BUSINESS SECRETARIAL EXCHANGE INC 915 Industrial Bank Bldg 111 Westminster St (02903), Tel 421-0154 (See Index, To Advertisers)"
216,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_59.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_60.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (3)_61.png']",*ANSWERING SERVICE,"CAPITOL ANSWERING SERVICE 1414
Atwood Av (Johnston; 02919), frel- 88148385 And 781-3848 (See 1116"" Advertisers)"
217,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_3.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_4.png']",ANTIQUES-DEALERS AN D RESTORERS,Allen Beatrice Brabyn 130 Westminster St Rm 39
218,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_5.png'],ANTIQUES-DEALERS AN D RESTORERS,Antique Corner 170 Wayland Av
219,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_6.png'],ANTIQUES-DEALERS AN D RESTORERS,Antiques Unlimited 1039 Westminster St
220,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_7.png'],ANTIQUES-DEALERS AN D RESTORERS,Artiques & Antiques 424 Wickenden St
221,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_8.png'],ANTIQUES-DEALERS AN D RESTORERS,B & M Antique Shop 112 Reservoir Av
222,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_9.png'],ANTIQUES-DEALERS AN D RESTORERS,Baker Cynthia D Mrs 85 Arnold St
223,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_10.png'],ANTIQUES-DEALERS AN D RESTORERS,Cipolla & Gama 130 Westminster St Rm 51
224,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_11.png'],ANTIQUES-DEALERS AN D RESTORERS,Enterprise Two Antiques 1407 Broad St
225,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_12.png'],ANTIQUES-DEALERS AN D RESTORERS,Esmeralda 257 Thayer St
226,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_13.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_14.png']",ANTIQUES-DEALERS AN D RESTORERS,Horn Of Plenty Antiques The Weybosset St 4th Fl
227,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_15.png'],ANTIQUES-DEALERS AN D RESTORERS,Joyner's Cy Antique Gallery 1025 Eddy St
228,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_16.png'],ANTIQUES-DEALERS AN D RESTORERS,King Alice Y Associates 125 Benefit St
229,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_17.png'],ANTIQUES-DEALERS AN D RESTORERS,King'q Ransom Antiques 771 Hope St
230,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_18.png'],ANTIQUES-DEALERS AN D RESTORERS,Kopecky Joan A 654 Plainfield St
231,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_19.png'],ANTIQUES-DEALERS AN D RESTORERS,Lafleur Steven H 15 Exeter St
232,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_20.png'],ANTIQUES-DEALERS AN D RESTORERS,Little Shop The 130 Westminster St Rm 11
233,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_21.png'],ANTIQUES-DEALERS AN D RESTORERS,Old Vic-Antique Etc 167 Benefit St
234,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_22.png'],ANTIQUES-DEALERS AN D RESTORERS,Patty18 Antiques 1470 Broad St
235,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_23.png'],ANTIQUES-DEALERS AN D RESTORERS,Phebe's Sampler 130 Westminster St Rm 32
236,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_24.png'],ANTIQUES-DEALERS AN D RESTORERS,Rre-Ample Antiques 738 Hope St
237,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_25.png'],ANTIQUES-DEALERS AN D RESTORERS,Scrooge & Marley 271 Thajer St
238,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_26.png'],ANTIQUES-DEALERS AN D RESTORERS,Unusual Antiques 149 Camp St
239,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_29.png'],APARTMENTS AN D TOWN HOUSES,Abbruzzi Apartment House 545 Potters Av
240,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_30.png'],APARTMENTS AN D TOWN HOUSES,Aberdeen Apartments 134 Benefit St
241,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_31.png'],APARTMENTS AN D TOWN HOUSES,A1beranne Apartments 94 Medway St
242,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_32.png'],APARTMENTS AN D TOWN HOUSES,Alden The Apts 88 Taft Av
243,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_33.png'],APARTMENTS AN D TOWN HOUSES,Alumni East Apartments 9-11 Alumni Av
244,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_34.png'],APARTMENTS AN D TOWN HOUSES,Angeli Apartments 201 Angell St
245,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_35.png'],APARTMENTS AN D TOWN HOUSES,Annex The 695 Westminster St
246,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_36.png'],APARTMENTS AN D TOWN HOUSES,Arches The 33*A Elmwood Av
247,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_37.png'],APARTMENTS AN D TOWN HOUSES,ArmandSApartments 454 Broadway
248,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_38.png'],APARTMENTS AN D TOWN HOUSES,Armen Realty 430 Pine St
249,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_39.png'],APARTMENTS AN D TOWN HOUSES,Aster Arms Apartments 50 Jewett St
250,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_40.png'],APARTMENTS AN D TOWN HOUSES,Athenaeum Row 257 Benefit St
251,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_41.png'],APARTMENTS AN D TOWN HOUSES,Rannigan Court Apartments 209 Medway St
252,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_42.png'],APARTMENTS AN D TOWN HOUSES,Barbara Apartments Inc 34 Mawney St-
253,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_43.png'],APARTMENTS AN D TOWN HOUSES,Rarelay Apartments 131 Broadway -
254,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_44.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_45.png']",APARTMENTS AN D TOWN HOUSES,Begkmor Apartments 1252 Douglds Av (N Prov)
255,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_46.png'],APARTMENTS AN D TOWN HOUSES,Bellini Apts 347 Pine St
256,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_47.png'],APARTMENTS AN D TOWN HOUSES,Bess Apartments 40 Sessions St
257,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_48.png'],APARTMENTS AN D TOWN HOUSES,Beverly Court Apartments 381 Ives St'
258,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_49.png'],APARTMENTS AN D TOWN HOUSES,Bilodeau Albert W 458 Pine St
259,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_50.png'],APARTMENTS AN D TOWN HOUSES,Blackstone Apartments 522 Broad St
260,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_51.png'],APARTMENTS AN D TOWN HOUSES,Blazar Sydney S 178 Ives St
261,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_52.png'],APARTMENTS AN D TOWN HOUSES,Blazer Sydney S Apts 110 Benefit St
262,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_53.png'],APARTMENTS AN D TOWN HOUSES,Bomes Edw Apartments 246 Gano St
263,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_54.png'],APARTMENTS AN D TOWN HOUSES,Bomes Edw Associates 250 Gano St
264,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_55.png'],APARTMENTS AN D TOWN HOUSES,Bradford House The 100 Atwells Av
265,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_56.png'],APARTMENTS AN D TOWN HOUSES,Bridgham Block 1195 Westminster St
266,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_57.png'],APARTMENTS AN D TOWN HOUSES,Rroadway Apartments 235 Broadway
267,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_58.png'],APARTMENTS AN D TOWN HOUSES,Broadway Plaza 61 Gesler St
268,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_59.png'],APARTMENTS AN D TOWN HOUSES,Eromley Realty Co 101 Medway St
269,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_60.png'],APARTMENTS AN D TOWN HOUSES,Brook Village 2080 Smith St (N Prov)
270,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_61.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_62.png']",APARTMENTS AN D TOWN HOUSES,Brown Association For Cooperative Housing 166 Waterman St
271,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_63.png'],APARTMENTS AN D TOWN HOUSES,Brownell Apartments 57 Brownell St
272,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_64.png'],APARTMENTS AN D TOWN HOUSES,Buena Vista Apartments 230 Butler Av
273,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_65.png'],APARTMENTS AN D TOWN HOUSES,Businessmen's Guest House 120 Olney St
274,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_66.png'],APARTMENTS AN D TOWN HOUSES,c & 0 Building 162 Clifford St 1
275,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_67.png'],APARTMENTS AN D TOWN HOUSES,Cameo Apartments 1273 N Main St
276,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_68.png'],APARTMENTS AN D TOWN HOUSES,Capitol Stationery Apartments 258 Broad St
277,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_69.png'],APARTMENTS AN D TOWN HOUSES,Carol's Apartments 1390 Westminster St
278,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_70.png'],APARTMENTS AN D TOWN HOUSES,Qarriage House The 185 Hope St
279,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_71.png'],APARTMENTS AN D TOWN HOUSES,Carroll Joseph P Tower 243-Smith St
280,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_72.png'],APARTMENTS AN D TOWN HOUSES,Qgthedral Square Apartments 5 Cathedral Sq
281,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_73.png'],APARTMENTS AN D TOWN HOUSES,Chad Brown House8 37 Berkshire St
282,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_74.png'],APARTMENTS AN D TOWN HOUSES,Charles Place Apartments 460 Charles St
283,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_75.png'],APARTMENTS AN D TOWN HOUSES,Charlesgate Square North 670 N Main St
284,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_76.png'],APARTMENTS AN D TOWN HOUSES,thldb Apartments 15 Wesleyan Av
285,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_77.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_78.png']",APARTMENTS AN D TOWN HOUSES,Ciccone John T Estate Aparfments 155 Elmwood Av
286,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_79.png'],APARTMENTS AN D TOWN HOUSES,Codding Realty Apartments 127 Elmgrove Av
287,['test/no_ads/margins_fixed/cropped/entry/1978_Page_53 (1)_80.png'],APARTMENTS AN D TOWN HOUSES,Cohen Lena E Mia 199 William St '
